loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.2215,867.0762939453125,3.5714285714285716e-07,0.08898776418242492,10,,,,,,,,,,,
3.1222,535.4824829101562,8.928571428571429e-07,0.17797552836484984,20,,,,,,,,,,,
2.4617,213.9803009033203,1.4880952380952381e-06,0.26696329254727474,30,,,,,,,,,,,
1.9129,163.92752075195312,2.0833333333333334e-06,0.3559510567296997,40,,,,,,,,,,,
1.3779,129.35580444335938,2.6785714285714285e-06,0.44493882091212456,50,,,,,,,,,,,
0.9528,84.96761322021484,3.273809523809524e-06,0.5339265850945495,60,,,,,,,,,,,
0.8093,106.25621795654297,3.869047619047619e-06,0.6229143492769744,70,,,,,,,,,,,
0.6736,104.11602783203125,4.464285714285715e-06,0.7119021134593994,80,,,,,,,,,,,
0.5927,77.50786590576172,5.05952380952381e-06,0.8008898776418243,90,,,,,,,,,,,
0.5386,84.28959655761719,5.595238095238096e-06,0.8898776418242491,100,,,,,,,,,,,
,,,0.8898776418242491,100,1.0636018514633179,0.7261410788381742,0.4456066945606695,251.3372,0.175,0.175,,,,,
0.4808,85.19226837158203,6.1904761904761914e-06,0.978865406006674,110,,,,,,,,,,,
0.384,60.343719482421875,6.785714285714287e-06,1.067853170189099,120,,,,,,,,,,,
0.38,105.67585754394531,7.380952380952382e-06,1.156840934371524,130,,,,,,,,,,,
0.3114,67.11734771728516,7.976190476190477e-06,1.2458286985539488,140,,,,,,,,,,,
0.2928,87.9760971069336,8.571428571428571e-06,1.3348164627363737,150,,,,,,,,,,,
0.2419,61.58634567260742,9.166666666666666e-06,1.4238042269187987,160,,,,,,,,,,,
0.2204,84.08690643310547,9.761904761904762e-06,1.5127919911012235,170,,,,,,,,,,,
0.1872,66.29289245605469,9.960317460317462e-06,1.6017797552836486,180,,,,,,,,,,,
0.1015,51.48881149291992,9.894179894179896e-06,1.6907675194660734,190,,,,,,,,,,,
0.0764,60.688865661621094,9.828042328042328e-06,1.7797552836484982,200,,,,,,,,,,,
,,,1.7797552836484982,200,0.8505750298500061,1.2406639004149378,0.9163179916317992,271.1685,0.162,0.162,,,,,
0.067,51.61477279663086,9.761904761904762e-06,1.8687430478309233,210,,,,,,,,,,,
0.0679,33.94939041137695,9.695767195767196e-06,1.9577308120133483,220,,,,,,,,,,,
0.0307,15.33551025390625,9.62962962962963e-06,2.046718576195773,230,,,,,,,,,,,
0.0241,23.799999237060547,9.563492063492064e-06,2.135706340378198,240,,,,,,,,,,,
0.0281,31.21080780029297,9.497354497354498e-06,2.2246941045606228,250,,,,,,,,,,,
0.0336,4.882189750671387,9.431216931216932e-06,2.313681868743048,260,,,,,,,,,,,
0.0287,41.1759033203125,9.365079365079366e-06,2.402669632925473,270,,,,,,,,,,,
0.0235,18.633529663085938,9.2989417989418e-06,2.4916573971078977,280,,,,,,,,,,,
0.0262,5.7859416007995605,9.232804232804234e-06,2.5806451612903225,290,,,,,,,,,,,
0.012,3.3759427070617676,9.166666666666666e-06,2.6696329254727473,300,,,,,,,,,,,
,,,2.6696329254727473,300,1.0152193307876587,1.0871369294605808,0.7604602510460251,271.0891,0.162,0.162,,,,,
0.013,3.5313186645507812,9.1005291005291e-06,2.7586206896551726,310,,,,,,,,,,,
0.0218,27.828901290893555,9.034391534391536e-06,2.8476084538375974,320,,,,,,,,,,,
0.0319,22.846940994262695,8.968253968253968e-06,2.9365962180200222,330,,,,,,,,,,,
0.0298,35.0449104309082,8.902116402116403e-06,3.025583982202447,340,,,,,,,,,,,
0.0136,1.088552713394165,8.835978835978837e-06,3.114571746384872,350,,,,,,,,,,,
0.0058,107.71330261230469,8.76984126984127e-06,3.203559510567297,360,,,,,,,,,,,
0.0133,5.843476295471191,8.703703703703705e-06,3.292547274749722,370,,,,,,,,,,,
0.0058,10.99173641204834,8.637566137566139e-06,3.381535038932147,380,,,,,,,,,,,
0.014,43.41714096069336,8.571428571428571e-06,3.4705228031145716,390,,,,,,,,,,,
0.0085,24.565919876098633,8.505291005291007e-06,3.5595105672969964,400,,,,,,,,,,,
,,,3.5595105672969964,400,1.0083740949630737,0.7178423236514523,0.4382845188284519,253.1949,0.174,0.174,,,,,
0.0036,21.62019920349121,8.43915343915344e-06,3.6484983314794217,410,,,,,,,,,,,
0.0101,19.101444244384766,8.373015873015875e-06,3.7374860956618465,420,,,,,,,,,,,
0.0151,19.538442611694336,8.306878306878307e-06,3.8264738598442714,430,,,,,,,,,,,
0.0188,30.946998596191406,8.240740740740741e-06,3.915461624026696,440,,,,,,,,,,,
0.0075,7.131682872772217,8.174603174603175e-06,4.004449388209121,450,,,,,,,,,,,
0.0107,22.520660400390625,8.108465608465609e-06,4.093437152391546,460,,,,,,,,,,,
0.0035,1.352567434310913,8.042328042328043e-06,4.1824249165739715,470,,,,,,,,,,,
0.0026,28.896427154541016,7.976190476190477e-06,4.271412680756396,480,,,,,,,,,,,
0.0047,2.4107518196105957,7.910052910052911e-06,4.360400444938821,490,,,,,,,,,,,
0.0044,1.958419680595398,7.843915343915345e-06,4.4493882091212456,500,,,,,,,,,,,
,,,4.4493882091212456,500,1.2753429412841797,0.8921161825726142,0.8922594142259415,270.6016,0.163,0.163,,,,,
0.0025,16.124082565307617,7.77777777777778e-06,4.538375973303671,510,,,,,,,,,,,
0.0076,1.6420539617538452,7.711640211640211e-06,4.627363737486096,520,,,,,,,,,,,
0.0079,10.432781219482422,7.645502645502646e-06,4.7163515016685205,530,,,,,,,,,,,
0.0049,1.8978538513183594,7.5793650793650795e-06,4.805339265850946,540,,,,,,,,,,,
0.0039,23.979713439941406,7.5132275132275136e-06,4.89432703003337,550,,,,,,,,,,,
0.0015,15.091867446899414,7.447089947089947e-06,4.983314794215795,560,,,,,,,,,,,
0.0024,2.254138469696045,7.380952380952382e-06,5.072302558398221,570,,,,,,,,,,,
0.0031,0.7996967434883118,7.314814814814816e-06,5.161290322580645,580,,,,,,,,,,,
0.0029,0.3507348597049713,7.24867724867725e-06,5.25027808676307,590,,,,,,,,,,,
0.0011,0.1078612208366394,7.182539682539683e-06,5.339265850945495,600,,,,,,,,,,,
,,,5.339265850945495,600,1.28734290599823,1.2821576763485478,1.0575313807531381,284.1767,0.155,0.155,,,,,
0.0069,51.178436279296875,7.116402116402117e-06,5.42825361512792,610,,,,,,,,,,,
0.0034,0.4455217719078064,7.050264550264551e-06,5.517241379310345,620,,,,,,,,,,,
0.0048,0.27407076954841614,6.984126984126984e-06,5.60622914349277,630,,,,,,,,,,,
0.0045,1.7783173322677612,6.917989417989418e-06,5.695216907675195,640,,,,,,,,,,,
0.0079,11.297531127929688,6.851851851851853e-06,5.784204671857619,650,,,,,,,,,,,
0.0013,0.4087900221347809,6.785714285714287e-06,5.8731924360400445,660,,,,,,,,,,,
0.0013,0.03585415706038475,6.71957671957672e-06,5.96218020022247,670,,,,,,,,,,,
0.0046,2.637176513671875,6.653439153439154e-06,6.051167964404894,680,,,,,,,,,,,
0.0007,0.030147835612297058,6.587301587301588e-06,6.140155728587319,690,,,,,,,,,,,
0.0003,0.048217982053756714,6.521164021164021e-06,6.229143492769744,700,,,,,,,,,,,
,,,6.229143492769744,700,1.425132155418396,1.120331950207469,0.9069037656903766,273.5359,0.161,0.161,,,,,
0.0004,0.12774716317653656,6.455026455026455e-06,6.318131256952169,710,,,,,,,,,,,
0.0014,0.11775440722703934,6.3888888888888885e-06,6.407119021134594,720,,,,,,,,,,,
0.0001,0.5280460715293884,6.322751322751323e-06,6.496106785317019,730,,,,,,,,,,,
0.0001,0.017738375812768936,6.256613756613757e-06,6.585094549499444,740,,,,,,,,,,,
